valorcontrato1;duracao_dias;fornecedor_num_contratos;fornecedor_valor_medio;fornecedor_num_orgaos;orgao_num_contratos;orgao_valor_medio;orgao_num_fornecedores;anomaly_if;anomaly_score_if;anomaly_lof;anomaly_score_lof
25552021.63;365.0;3;25552021.63;2;860;2325855.8773766733;529;1;-0.5654142162095053;0;-1.5759063957948758
72160006.49;365.0;6;24438600.314999998;2;860;2325855.8773766733;529;1;-0.6254491008993115;0;-2.7414399956272546
44618805.12;365.0;37;2045098.7485714282;18;860;2325855.8773766733;529;1;-0.5984263056614119;0;-1.0090302391341375
45754538.16;365.0;84;2154521.333103448;40;860;2325855.8773766733;529;1;-0.668516127394273;0;-1.432526271894357
29850102.24;365.0;47;14934285.374444446;18;860;2325855.8773766733;529;1;-0.6146810529600781;0;-0.9839562617562564
1253238.6;365.0;177;1756316.0664233577;44;65;918536.044825;55;1;-0.5690447023570678;0;-1.035304481296736
167250.6;545.0;177;1756316.0664233577;44;80;665344.6766346154;57;1;-0.5625542658465211;0;-1.0113336657049514
170509.68;545.0;177;1756316.0664233577;44;80;665344.6766346154;57;1;-0.5655183931596995;0;-1.0113336505546622
612348.84;2191.0;47;14934285.374444446;18;80;665344.6766346154;57;1;-0.5768314762235781;0;-1.3413862978993218
327066.96;365.0;177;1756316.0664233577;44;186;496326.99582168675;116;1;-0.5615709408634487;0;-0.9751230304636629
673652.16;365.0;177;1756316.0664233577;44;186;496326.99582168675;116;1;-0.5682728376550772;0;-0.9751201108651018
192085.44;365.0;177;1756316.0664233577;44;15;113127.01599999999;9;1;-0.5839477418268264;0;-1.0166491325724256
55750.2;365.0;177;1756316.0664233577;44;15;113127.01599999999;9;1;-0.5819756242228766;0;-1.0166491325724256
54707.67;365.0;177;1756316.0664233577;44;45;69127.272;34;1;-0.5635708637095811;0;-1.1310777185238923
1011766.32;365.0;177;1756316.0664233577;44;144;419950.2954266667;80;1;-0.56199283565884;0;-1.0731072116969864
1891975.68;365.0;177;1756316.0664233577;44;142;1399965.8714298508;104;1;-0.5788888970616397;0;-1.0591041890325215
3166771.08;365.0;177;1756316.0664233577;44;142;1399965.8714298508;104;1;-0.5838663605074149;0;-1.0603904950506755
1002357.06;180.0;177;1756316.0664233577;44;522;2547351.533049412;320;1;-0.6235655258844941;0;-2.8551300008762293
45685990.8;365.0;177;1756316.0664233577;44;522;2547351.533049412;320;1;-0.6866410310783473;0;-2.8729153450157954
1320800.64;364.0;177;1756316.0664233577;44;239;2272039.6559724137;144;1;-0.5923507708409154;0;-1.8764345783060226
54707.64;364.0;177;1756316.0664233577;44;239;2272039.6559724137;144;1;-0.57745330087214;0;-1.8763481212277324
273538.2;364.0;177;1756316.0664233577;44;19;170637.42;15;1;-0.5784672834804198;0;-1.0192800183513433
2444012.16;364.0;177;1756316.0664233577;44;167;1118853.6468839287;108;1;-0.5754457762015036;0;-1.017464710042641
1512938.4;364.0;177;1756316.0664233577;44;186;496326.99582168675;116;1;-0.5772726361372162;0;-0.975479415742539
503786.64;364.0;177;1756316.0664233577;44;186;496326.99582168675;116;1;-0.5620632530166875;0;-0.9750983167940156
164122.92;365.0;177;1756316.0664233577;44;166;1670001.3485353845;113;1;-0.5611890452854695;0;-1.0033454509393285
51565850.0089;791.0;1;51565850.0089;1;119;8212593.031951387;79;1;-0.62386967124388;0;-1.6721774281432498
57460077.54;455.0;1;57460077.54;1;119;8212593.031951387;79;1;-0.6289801936119087;0;-1.7649250422982277
506937289.84;729.0;6;108936516.46;2;294;3397543.2365650246;190;1;-0.6743648617538367;1;-6.4618250112937
1644988.08;365.0;177;1756316.0664233577;44;85;139896.6038095238;67;1;-0.563917594345129;0;-0.9427135002332145
54707.64;365.0;177;1756316.0664233577;44;18;35406.78;18;1;-0.5799410749172028;0;-1.0209156359843967
18498926.16;364.0;177;1756316.0664233577;44;142;1399965.8714298508;104;1;-0.6048305499410793;0;-1.2130203768030943
31950000.0;180.0;1;31950000.0;1;860;2325855.8773766733;529;1;-0.604053006195581;0;-2.0884243068927835
27910872.0;180.0;2;17041463.065;2;860;2325855.8773766733;529;1;-0.5619035578519184;0;-1.6307653636657506
454901.39;364.0;177;1756316.0664233577;44;294;3397543.2365650246;190;1;-0.598666416337753;0;-2.0412355268449422
110400.0;11109.0;47;472837.7104999999;24;200;12706911.211951219;114;1;-0.6046239748041285;0;-2.557077540459887
235196.64;11109.0;47;472837.7104999999;24;200;12706911.211951219;114;1;-0.6054426892244076;0;-2.557078281978881
612348.84;11110.0;47;14934285.374444446;18;200;12706911.211951219;114;1;-0.6393708439693864;0;-2.3386857710171616
212649536.36;7305.0;1;212649536.36;1;146;163764141.82162738;108;1;-0.7710802298968188;1;-6.268788430244891
15295275720.0;1460.0;1;15295275720.0;1;146;163764141.82162738;108;1;-0.7617199122580002;1;-135.99974601824997
37500000.0;364.0;1;37500000.0;1;239;2272039.6559724137;144;1;-0.575033253589168;0;-3.2308639283854683
0.0;364.0;177;1756316.0664233577;44;15;113127.01599999999;9;1;-0.5804976844643394;0;-1.0166487237249289
45111.36;364.0;177;1756316.0664233577;44;45;69127.272;34;1;-0.5625859715163103;0;-1.1310806434784457
666231.72;365.0;177;1756316.0664233577;44;994;5290699.8067473015;304;1;-0.6123713674946845;0;-2.788521673030277
513549163.68;1707.0;3;621762716.245;1;994;5290699.8067473015;304;1;-0.7202684287573747;1;-15.73493099277889
24391377.79;1155.0;6;24518153.8125;3;994;5290699.8067473015;304;1;-0.5871043927216378;0;-2.1131284307092124
6488220.99;850.0;64;8471801.304814814;18;994;5290699.8067473015;304;1;-0.5650592570355409;0;-1.0379517041676103
22561806.77;2032.0;9;10284282.536666667;1;994;5290699.8067473015;304;1;-0.5796643596756879;0;-1.4369364683121268
36915823.68;1580.0;5;109553104.16;1;994;5290699.8067473015;304;1;-0.6690199342750549;0;-3.7126446968653597
7721353.24;365.0;177;1756316.0664233577;44;994;5290699.8067473015;304;1;-0.6497095223770919;0;-2.788601667344573
